##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	sampleDat6_2_fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1000000
Total Bases	101 Mbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1107	80-81	-0.18633250585117622
1107	82-83	0.031511434245174996
1107	84-85	0.006679303113500623
1107	86-87	0.030770666714218464
1107	88-89	0.0647683405841093
1107	90-91	0.16468777296180193
1107	92-93	0.26272389999952495
1107	94-95	0.06264034737043289
1107	96-97	0.18612846918382076
1107	98-99	0.18293320136238478
1107	100-101	-0.38075748045646307
1108	1	2.1349178090117142
1108	2	5.02545090753226
1108	3	4.066486477983588
1108	4	1.480950496380899
1108	5	0.5503692134588576
1108	6	0.36816742975585726
1108	7	0.1551935346330211
1108	8	0.11224792697360897
1108	9	0.09052722449787609
1108	10-11	-0.06884183006566502
1108	12-13	0.11582894643671438
1108	14-15	0.18828851399825908
1108	16-17	0.12332715316825471
1108	18-19	0.19352376226504475
1108	20-21	0.11384564074629111
1108	22-23	0.18766930461909936
1108	24-25	0.21519098749283927
1108	26-27	0.14221789575371702
1108	28-29	0.13084918272221557
1108	30-31	0.10667024915582601
1108	32-33	0.13609003884253212
1108	34-35	0.22015324452023322
1108	36-37	0.23141877177968695
1108	38-39	0.1450003476001669
1108	40-41	0.1366513976958288
1108	42-43	0.19366158590113258
1108	44-45	0.31683141412700166
1108	46-47	0.21011273958418286
1108	48-49	0.29810410262405185
1108	50-51	0.46079176075045325
1108	52-53	0.3647040950270224
1108	54-55	0.2930647534145976
1108	56-57	0.3280345396513411
1108	58-59	0.20214555053550498
1108	60-61	0.21882757102719097
1108	62-63	0.19972771389348765
1108	64-65	0.15508327001817435
1108	66-67	0.23314774110784242
1108	68-69	0.29545510937713715
1108	70-71	0.3296102143152524
1108	72-73	0.2894621427689401
1108	74-75	0.2087511600909906
1108	76-77	0.24453472221243544
1108	78-79	0.20846321719680105
1108	80-81	0.20009183158799004
1108	82-83	0.18642902013070284
1108	84-85	0.23308071139938136
1108	86-87	0.06391933134811012
1108	88-89	0.20486696356874745
1108	90-91	0.06659159099579526
1108	92-93	0.10833023912769235
1108	94-95	7.324008610467558E-4
1108	96-97	0.027287680614325183
1108	98-99	0.12990665672362667
1108	100-101	-0.3933882746623212
1109	1	2.183396425621382
1109	2	5.012115769104049
1109	3	4.058847058579467
1109	4	1.4342705278841024
1109	5	0.5718960443676693
1109	6	0.33101148567511984
1109	7	0.04037230886615362
1109	8	0.1102601736828035
1109	9	0.1885685891066302
1109	10-11	0.08084566288319195
1109	12-13	0.020607505347804533
1109	14-15	0.047000084548997734
1109	16-17	0.0687627881050048
1109	18-19	-0.0015059949389453209
1109	20-21	0.024179164259258812
1109	22-23	0.06301675852202493
1109	24-25	0.06004738037604085
1109	26-27	0.0785829289169655
1109	28-29	0.026377704833016935
1109	30-31	0.27881129583149544
1109	32-33	0.28963001256121146
1109	34-35	0.1735893178371697
1109	36-37	0.10884584540929154
1109	38-39	0.014199734297690725
1109	40-41	0.1764757662618237
1109	42-43	0.0205481518048245
1109	44-45	0.06829617341008287
1109	46-47	0.12616723196034485
1109	48-49	-0.11981726615360344
1109	50-51	-0.0417095850122422
1109	52-53	0.024871345663370903
1109	54-55	0.03629000669197069
1109	56-57	0.052521188933219776
1109	58-59	-0.11364720308301202
1109	60-61	0.009542399344404373
1109	62-63	-0.005332676200410447
1109	64-65	-0.01935013970935273
1109	66-67	0.04918923250301788
1109	68-69	0.04738725929886556
1109	70-71	-0.05104937594970238
1109	72-73	0.024833084394529692
1109	74-75	-0.015373395753599084
1109	76-77	0.007415632152174112
1109	78-79	-0.10057923369225108
1109	80-81	0.018393452197877025
1109	82-83	0.004050506776763996
1109	84-85	0.07829919771988614
1109	86-87	-0.022331970093070197
1109	88-89	0.03745945587828459
1109	90-91	0.08845043042723333
1109	92-93	0.07186087577820999
1109	94-95	-0.039254211351924084
1109	96-97	-0.17714253796332358
1109	98-99	-0.15040523788461968
1109	100-101	-0.7280195571714891
1110	1	2.174438063721844
1110	2	5.060338570268023
1110	3	4.0537066652037765
1110	4	1.314996338021679
1110	5	0.6067331027341396
1110	6	0.40968662317378346
1110	7	0.26403883841503273
1110	8	0.21231541691451383
1110	9	0.03469501170363998
1110	10-11	0.06232409730280608
1110	12-13	0.0844723986244631
1110	14-15	0.04147728490855229
1110	16-17	0.004622135729057675
1110	18-19	0.03059480186772845
1110	20-21	-0.02640206279255608
1110	22-23	0.13885965201197337
1110	24-25	0.19984810252970675
1110	26-27	0.0807417722522743
1110	28-29	0.08309876155406926
1110	30-31	0.1632819450080234
1110	32-33	0.09770320298733992
1110	34-35	0.019601475614038577
1110	36-37	0.10226723883069155
1110	38-39	0.03670990386667938
1110	40-41	0.06063866218942593
1110	42-43	-0.04844647013097614
1110	44-45	0.0799999380550176
1110	46-47	0.07158216561057174
1110	48-49	0.05682395754644176
1110	50-51	0.10760711136327217
1110	52-53	0.11327727524576403
1110	54-55	0.07192082467573613
1110	56-57	0.09370070658332708
1110	58-59	0.10390234976065926
1110	60-61	0.09266929423600345
1110	62-63	0.05045902665011681
1110	64-65	-0.05562084068593265
1110	66-67	-0.053979711842394806
1110	68-69	-0.011663276222257934
1110	70-71	0.04693194556102753
1110	72-73	0.040184182098570886
1110	74-75	0.02481582678856853
1110	76-77	0.03810411578183448
1110	78-79	0.11702516626508697
1110	80-81	-0.06326628240303478
1110	82-83	0.1885531501029334
1110	84-85	0.039639600236753836
1110	86-87	0.01768356992247533
1110	88-89	0.1496035209635309
1110	90-91	0.03448544116812613
1110	92-93	0.164733798062894
1110	94-95	0.11743332768855907
1110	96-97	0.0909775772156145
1110	98-99	0.04753647182180032
1110	100-101	-0.4442360204467768
1111	1	2.099544345847189
1111	2	5.039703296946442
1111	3	4.0494030414894056
1111	4	1.4100740313662712
1111	5	0.5923616855897578
1111	6	0.3464456725844798
1111	7	0.13801712279193623
1111	8	0.10009531786599268
1111	9	-0.08624293731056554
1111	10-11	0.06563081690067918
1111	12-13	0.009085413185488278
1111	14-15	-0.08199760979685067
1111	16-17	-0.01445186428081513
1111	18-19	-0.03825280857433455
1111	20-21	-0.019444965714143336
1111	22-23	0.08635751649424606
1111	24-25	-0.027050533207749083
1111	26-27	0.08601168688094418
1111	28-29	-0.10483914302161423
1111	30-31	-0.05038339344067566
1111	32-33	0.08047093272214312
1111	34-35	0.12159676513098816
1111	36-37	0.1199972205121469
1111	38-39	0.10230115836608888
1111	40-41	0.14738117059571465
1111	42-43	0.1898778026820338
1111	44-45	0.16440251153905194
1111	46-47	0.20904926876225005
1111	48-49	0.13225488774340022
1111	50-51	0.09272168867889263
1111	52-53	0.1322860987606589
1111	54-55	0.2584283026910157
1111	56-57	0.3118202659507219
1111	58-59	0.07075467068577268
1111	60-61	0.23432102462257376
1111	62-63	0.15042100702804362
1111	64-65	0.22081736261535667
1111	66-67	0.1021214499780001
1111	68-69	0.27639411859424
1111	70-71	0.28891103970650533
1111	72-73	0.058317073021754595
1111	74-75	0.21851148218266303
1111	76-77	0.3819037079349812
1111	78-79	0.21605690030548175
1111	80-81	0.1891761079942924
1111	82-83	0.03545899475574288
1111	84-85	0.028290496166675894
1111	86-87	0.012513888842910603
1111	88-89	0.10334154107936655
1111	90-91	-0.03429501773365118
1111	92-93	-0.0717008501568479
1111	94-95	-0.12369995330607608
1111	96-97	-0.09094927698160404
1111	98-99	-0.017577315475698185
1111	100-101	-0.6759147595778536
1112	1	2.016498342624228
1112	2	5.007254149815182
1112	3	4.062351139637727
1112	4	1.4428685827360255
1112	5	0.5902013888340036
1112	6	0.2965542195150661
1112	7	0.13563577948566063
1112	8	0.08215497306986208
1112	9	0.15295861944093048
1112	10-11	0.10009887613021107
1112	12-13	-0.01626759237868214
1112	14-15	0.052104065535331756
1112	16-17	-0.003262104786756481
1112	18-19	-0.03206076868257668
1112	20-21	-0.017042338695986814
1112	22-23	0.07333933412324001
1112	24-25	0.13679817000608807
1112	26-27	0.08630707439652241
1112	28-29	0.050620129075440445
1112	30-31	0.05959623500652356
1112	32-33	0.11163332744378351
1112	34-35	0.07450700867746463
1112	36-37	0.001474766196110977
1112	38-39	-0.04826985321833632
1112	40-41	-0.04570861626311995
1112	42-43	0.005178511125585317
1112	44-45	0.062376606221164366
1112	46-47	-0.007881772011259613
1112	48-49	0.17680671358182565
1112	50-51	0.11424453826386127
1112	52-53	-0.0665937698884349
1112	54-55	0.162349674578266
1112	56-57	0.17380117142063511
1112	58-59	0.1431436153177117
1112	60-61	0.19573122256109343
1112	62-63	0.2768415427694748
1112	64-65	0.3539053251560276
1112	66-67	0.20402223747534265
1112	68-69	0.19807431562059463
1112	70-71	0.1555494294416775
1112	72-73	0.21682310847434394
